depositos,vendedores,distancia_total, tiempo
5,100,1718.0,8285
5,200,3242.0,15804
10,100,1396.0,8139
10,200,2646.0,10341
20,100,1186.0,11623
20,200,2356.0,16856
5,100,4819.0,13101
5,200,8204.0,29636
10,100,2402.0,21093
10,200,7362.0,27324
20,100,1493.0,29531
20,200,4434.0,118742
5,100,88194.0,20344
5,200,210821.0,35093
10,100,109850.0,28113
10,200,290532.0,52844
10,400,644551.0,91205
15,900,1668740.0,50608
20,100,110692.0,13225
20,1600,3264590.0,76286
20,200,327107.0,11552
20,400,741855.0,25161
30,900,1898230.0,187734
40,1600,3556060.0,161693
40,400,731971.0,41233
60,900,1891140.0,388048
80,1600,3577940.0,397535
