depositos,vendedores,distancia_total, tiempo
5,100,1630,1171040.0
5,200,2830,1872530.0
10,100,1361,1667870.0
10,200,2628,3515720.0
20,100,1157,3544790.0
20,200,2340,17634300.0
5,100,3513,2687540.0
5,200,6802,4848800.0
10,100,1534,2658260.0
10,200,5948,3298240.0
20,100,1209,14485200.0
20,200,2758,48751600.0
5,100,70136,3081890.0
5,200,189753,5456920.0
10,100,96087,12015400.0
10,200,266828,9582570.0
10,400,575091,18101900.0
15,900,999999,21300700.0
20,100,71833,9393480.0
20,1600,999999,87269400.0
20,200,282299,13154900.0
20,400,690100,13339000.0
30,900,999999,41541800.0
40,1600,999999,137246000.0
40,400,710811,26515400.0
60,900,999999,130973000.0
80,1600,999999,230434000.0
