depositos,vendedores,distancia_total, tiempo
5,100,3048.0,2321
5,200,6118.0,5933
10,100,2973.0,4954
10,200,6190.0,7422
20,100,3137.0,10030
20,200,6128.0,13743
5,100,4483.0,8040
5,200,8572.0,11470
10,100,3607.0,9304
10,200,8466.0,9190
20,100,2975.0,28044
20,200,6787.0,88272
5,100,65213.0,14871
5,200,165707.0,13825
10,100,68666.0,22333
10,200,223234.0,44123
10,400,399041.0,40010
15,900,984262.0,43637
20,100,26808.0,10908
20,1600,1951340.0,114729
20,200,175317.0,17735
20,400,413569.0,23275
30,900,1123640.0,240762
40,1600,2124840.0,220748
40,400,391472.0,75613
60,900,1022780.0,480969
80,1600,2044390.0,472881
