depositos,vendedores,distancia_total, tiempo
5,100,1718.0,2661
5,200,3242.0,5329
10,100,1396.0,4955
10,200,2646.0,6883
20,100,1186.0,10050
20,200,2356.0,13060
5,100,4819.0,7373
5,200,8204.0,4812
10,100,2402.0,9750
10,200,7362.0,5232
20,100,1493.0,31176
20,200,4434.0,94713
5,100,88194.0,10062
5,200,210821.0,9507
10,100,109850.0,19298
10,200,290532.0,22985
10,400,644551.0,54404
15,900,1668740.0,34357
20,100,110692.0,5287
20,1600,3264590.0,153655
20,200,327107.0,11673
20,400,741855.0,24505
30,900,1898230.0,241348
40,1600,3556060.0,279493
40,400,731971.0,60593
60,900,1891140.0,430319
80,1600,3577940.0,455619
