depositos,vendedores,distancia_total, tiempo
5,100,3013.0,2117
5,200,6080.0,3988
10,100,2937.0,5001
10,200,6150.0,25814
20,100,3098.0,9234
20,200,6088.0,19158
5,100,4483.0,4063
5,200,8572.0,11450
10,100,3607.0,12418
10,200,8466.0,8190
20,100,2939.0,32822
20,200,6787.0,104375
5,100,65213.0,10250
5,200,165707.0,10284
10,100,68666.0,22081
10,200,223234.0,24120
10,400,399041.0,39320
15,900,984262.0,41162
20,100,26808.0,7321
20,1600,1951340.0,102412
20,200,175317.0,21037
20,400,413569.0,27972
30,900,1123640.0,240361
40,1600,2124840.0,284252
40,400,391472.0,67971
60,900,1022780.0,469593
80,1600,2044390.0,419590
