depositos,vendedores,distancia_total, tiempo
5,100,1947.0,2850
5,200,3831.0,3460
10,100,1778.0,4612
10,200,3239.0,7052
20,100,1476.0,10065
20,200,2865.0,20142
5,100,4823.0,4896
5,200,8277.0,12314
10,100,2359.0,14983
10,200,7488.0,6740
20,100,1537.0,30582
20,200,2966.0,110253
5,100,226768.0,9934
5,200,469287.0,9523
10,100,223357.0,18536
10,200,478991.0,26835
10,400,976552.0,38060
15,900,2243420.0,33787
20,100,218307.0,10455
20,1600,4039900.0,162534
20,200,465043.0,20093
20,400,965046.0,32873
30,900,2253750.0,308216
40,1600,4068970.0,217248
40,400,939171.0,126562
60,900,2200640.0,511336
80,1600,4013900.0,442961
