depositos,vendedores,distancia_total, tiempo
5,100,1717.0,3561
5,200,3242.0,5060
10,100,1396.0,5014
10,200,2639.0,8770
20,100,1186.0,7434
20,200,2356.0,19378
5,100,4791.0,3272
5,200,8173.0,10850
10,100,2341.0,13714
10,200,7262.0,6489
20,100,1438.0,24081
20,200,4414.0,95403
5,100,88194.0,13258
5,200,210821.0,13542
10,100,109850.0,27498
10,200,290529.0,26985
10,400,644551.0,32165
15,900,1668740.0,91830
20,100,110692.0,7158
20,1600,3264580.0,118851
20,200,327107.0,19778
20,400,741845.0,28447
30,900,1898230.0,220967
40,1600,3556040.0,274203
40,400,731967.0,74402
60,900,1891130.0,506775
80,1600,3577930.0,464911
