depositos,vendedores,distancia_total, tiempo
5,100,2428.0,3521
5,200,4190.0,4812
10,100,2573.0,4814
10,200,5272.0,9659
20,100,2837.0,9055
20,200,5624.0,10906
5,100,4200.0,3713
5,200,7549.0,10125
10,100,3310.0,11328
10,200,7827.0,9362
20,100,2802.0,27668
20,200,6387.0,85277
5,100,65213.0,15162
5,200,165705.0,11849
10,100,68666.0,29365
10,200,223233.0,12633
10,400,399035.0,54589
15,900,984251.0,43076
20,100,26397.0,6576
20,1600,1951320.0,144802
20,200,175311.0,11870
20,400,413563.0,32211
30,900,1123630.0,300348
40,1600,2124830.0,214691
40,400,391459.0,124134
60,900,1022760.0,469436
80,1600,2044380.0,457116
