depositos,vendedores,distancia_total, tiempo
5,100,1889.0,4492
5,200,3740.0,5480
10,100,1762.0,6320
10,200,3236.0,27884
20,100,1494.0,23104
20,200,2827.0,10283
5,100,4823.0,4317
5,200,8277.0,10795
10,100,2347.0,19151
10,200,7485.0,10381
20,100,1525.0,58623
20,200,2950.0,98240
5,100,226768.0,15926
5,200,469287.0,14258
10,100,223357.0,22811
10,200,478991.0,16462
10,400,976552.0,51265
15,900,2243420.0,82413
20,100,218307.0,7457
20,1600,4039900.0,109595
20,200,465043.0,17354
20,400,965046.0,35297
30,900,2253750.0,240673
40,1600,4068970.0,248105
40,400,939171.0,62815
60,900,2200640.0,454844
80,1600,4013900.0,538433
